Village,Copper - Sufficient,Copper - Deficient,Boron - Sufficient,Boron - Deficient,S - Sufficient,S - Deficient,Fe - Sufficient,Fe - Deficient,Zn - Sufficient,Zn - Deficient,Mn - Sufficient,Mn - Deficient
Nattarmangalam,7,0,7,0,7,0,0,7,0,7,7,0
Virudhunagar,2,5,7,0,7,0,0,7,0,7,2,5
Tulukkapatti,4,0,0,4,4,0,0,4,0,4,4,0
Vachakkarapatti,12,0,12,0,12,0,0,12,0,12,12,0
Ondippulinayakkanur,8,0,4,4,8,0,0,8,2,6,7,1
Thathampatti,5,0,3,2,5,0,0,5,0,5,5,0
Kottaippatti,2,0,0,2,2,0,0,2,0,2,2,0
Pudupatti,1,0,1,0,1,0,0,1,0,1,1,0
Thammanayakkanpatti,6,0,3,3,6,0,0,6,0,6,6,0
Golwarpatti,5,0,5,0,5,0,0,5,0,5,4,1
Sandaiyur,6,0,0,6,6,0,0,6,0,6,6,0
Muthulingapuram,36,0,30,6,36,0,0,36,31,5,9,27
Veppilaipatti,4,0,4,0,4,0,0,4,0,4,4,0
Nallamanayakkanpatti,12,0,1,11,12,0,0,12,0,12,12,0
Pattampudur,101,0,84,17,101,0,0,101,99,2,100,1
Mettukkundu,0,2,0,2,0,2,0,2,0,2,0,2
Vadamalaikurichi,15,20,35,0,35,0,0,35,0,35,0,35
Kottaiyur,4,0,4,0,4,0,0,4,0,4,0,4
Elayirampannai,23,80,22,82,104,0,9,95,15,89,100,4
Vettilaiyurani,126,0,40,86,125,1,7,119,47,79,96,30
Surarpatti,84,28,59,53,102,10,1,111,18,94,96,16
Duraiswamipuram,207,0,110,96,170,37,0,207,96,111,148,59
Sankarapandiyapuram,100,6,36,70,91,15,2,104,93,13,68,38
Lakshmipuram,121,0,13,108,81,40,2,119,22,99,100,21
Kilanmarinadu,111,0,0,111,105,6,0,111,15,96,100,11
Appanayakkanpatti,5,0,5,0,5,0,0,5,5,0,5,0
Uthuppatti,44,0,5,39,42,2,11,33,34,10,41,3
Salvarpatti,14,1,10,5,15,0,0,15,4,11,0,15
Subramaniyapuram,7,0,7,0,7,0,0,7,3,4,0,7
Tayilupatti,8,0,8,0,8,0,0,8,6,2,0,8
Sippipparai,10,1,8,3,10,1,0,11,0,11,0,11
Thlukkankurichchi,5,0,5,0,5,0,0,5,0,5,0,5
Kuganparai,12,0,7,5,12,0,0,12,1,11,0,12
Edirkottai,5,0,5,0,5,0,0,5,5,0,2,3
Kangaraseval,23,0,20,2,22,0,0,23,18,5,2,21
Kongankulam,8,0,4,4,8,0,1,7,0,8,3,5
Nadukkudi,35,10,15,30,45,0,0,45,18,27,4,41
Kananjampatti,14,0,7,7,13,1,0,14,10,4,0,14
O.Muthuswamipuram,5,0,5,0,5,0,0,5,0,5,0,5
Kangarakottai,5,0,5,0,5,0,0,5,0,5,0,5
E. Ramanathapuram,5,0,5,0,5,0,0,5,5,0,3,2
Muthandipuram,3,0,3,0,3,0,0,3,0,3,1,2
Sevalpatti,123,4,13,114,117,10,0,127,25,102,99,28
